county,precinct,office,district,candidate,party,votes,election_day,mail,provisional
Perry,BLAIN BOROUGH,Registered Voters,,,,148,,,
Perry,BLAIN BOROUGH,Ballots Cast,,,,116,,,
Perry,BLAIN BOROUGH,President,,DONALD J TRUMP,REP,93,91,2,0
Perry,BLAIN BOROUGH,President,,KAMALA D HARRIS,DEM,21,16,5,0
Perry,BLAIN BOROUGH,President,,CHASE OLIVER,LIB,2,2,0,0
Perry,BLAIN BOROUGH,President,,JILL STEIN,GRN,0,0,0,0
Perry,BLAIN BOROUGH,President,,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,President,,Over Votes,,0,,,
Perry,BLAIN BOROUGH,President,,Under Votes,,0,,,
Perry,BLAIN BOROUGH,U.S. Senate,,DAVE MCCORMICK,REP,93,91,2,0
Perry,BLAIN BOROUGH,U.S. Senate,,ROBERT P CASEY JR,DEM,20,15,5,0
Perry,BLAIN BOROUGH,U.S. Senate,,JOHN C THOMAS,LIB,1,1,0,0
Perry,BLAIN BOROUGH,U.S. Senate,,MARTY SELKER,CST,1,1,0,0
Perry,BLAIN BOROUGH,U.S. Senate,,LEILA HAZOU,GRN,0,0,0,0
Perry,BLAIN BOROUGH,U.S. Senate,,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,U.S. Senate,,Over Votes,,0,,,
Perry,BLAIN BOROUGH,U.S. Senate,,Under Votes,,1,,,
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,DAVE SUNDAY,REP,87,85,2,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,24,19,5,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,2,2,0,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,2,2,0,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,0,0,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,Over Votes,,0,,,
Perry,BLAIN BOROUGH,ATTORNEY GENERAL,,Under Votes,,1,,,
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,TIM DEFOOR,REP,89,87,2,0
Perry,BLAIN BOROUGH,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,21,16,5,0
