county,precinct,office,district,candidate,election_day,mail,provisional,votes
Warren,BEAR LAKE BORO,President,,Kamala D. Harris,10,0,1,11
Warren,BEAR LAKE BORO,President,,Donald J. Trump,59,5,0,64
Warren,BEAR LAKE BORO,President,,Chase Oliver,0,1,0,1
Warren,BEAR LAKE BORO,President,,Jill Stein,0,0,0,0
Warren,BEAR LAKE BORO,President,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,ROBERT P CASEY JR,10,0,1,11
Warren,BEAR LAKE BORO,U.S. Senate,,DAVE MCCORMICK,57,5,0,62
Warren,BEAR LAKE BORO,U.S. Senate,,JOHN C THOMAS,1,0,0,1
Warren,BEAR LAKE BORO,U.S. Senate,,LEILA HAZOU,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,MARTY SELKER,0,0,0,0
Warren,BEAR LAKE BORO,U.S. Senate,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,EUGENE DEPASQUALE,8,0,1,9
Warren,BEAR LAKE BORO,Attorney General,,DAVE SUNDAY,59,5,0,64
Warren,BEAR LAKE BORO,Attorney General,,ROBERT COWBURN,0,1,0,1
Warren,BEAR LAKE BORO,Attorney General,,RICHARD L WEISS,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,JUSTIN L MAGILL,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,ERIC L SETTLE,0,0,0,0
Warren,BEAR LAKE BORO,Attorney General,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,MALCOLM KENYATTA,7,0,1,8
Warren,BEAR LAKE BORO,Auditor General,,TIM DEFOOR,60,5,0,65
Warren,BEAR LAKE BORO,Auditor General,,REECE SMITH,0,1,0,1
Warren,BEAR LAKE BORO,Auditor General,,ERIC K ANTON,0,0,0,0
Warren,BEAR LAKE BORO,Auditor General,,BOB GOODRICH,2,0,0,2
Warren,BEAR LAKE BORO,Auditor General,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,ERIN MCCLELLAND,9,0,1,10
Warren,BEAR LAKE BORO,State Treasurer,,STACY GARRITY,60,5,0,65
Warren,BEAR LAKE BORO,State Treasurer,,NICKOLAS CIESIELSKI,0,1,0,1
Warren,BEAR LAKE BORO,State Treasurer,,TROY BOWMAN,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,CHRIS FOSTER,0,0,0,0
Warren,BEAR LAKE BORO,State Treasurer,,Write-ins,0,0,0,0
Warren,BEAR LAKE BORO,U.S. House,15,ZACH WOMER,7,1,1,9
Warren,BEAR LAKE BORO,U.S. House,15,GLENN GT THOMPSON,59,5,0,64
