county,precinct,office,district,candidate,party,votes,election_day,absentee,provisional,military,federal
Cumberland,CAMP HILL 1,Registered Voters,,,,1049,,,,,
Cumberland,CAMP HILL 2,Registered Voters,,,,1369,,,,,
Cumberland,CAMP HILL 3,Registered Voters,,,,1765,,,,,
Cumberland,CAMP HILL 4,Registered Voters,,,,768,,,,,
Cumberland,CAMP HILL 5,Registered Voters,,,,1195,,,,,
Cumberland,CARLISLE 1-1,Registered Voters,,,,684,,,,,
Cumberland,CARLISLE 1-2,Registered Voters,,,,756,,,,,
Cumberland,CARLISLE 2,Registered Voters,,,,1270,,,,,
Cumberland,CARLISLE 3-1,Registered Voters,,,,1280,,,,,
Cumberland,CARLISLE 3-2,Registered Voters,,,,1859,,,,,
Cumberland,CARLISLE 3-3,Registered Voters,,,,1953,,,,,
Cumberland,CARLISLE 4-1,Registered Voters,,,,746,,,,,
Cumberland,CARLISLE 4-2,Registered Voters,,,,3765,,,,,
Cumberland,CARLISLE 5,Registered Voters,,,,2771,,,,,
Cumberland,COOKE,Registered Voters,,,,158,,,,,
Cumberland,DICKINSON NORTH,Registered Voters,,,,2895,,,,,
Cumberland,DICKINSON SOUTH,Registered Voters,,,,1039,,,,,
Cumberland,EAST PENNSBORO 1,Registered Voters,,,,1419,,,,,
Cumberland,EAST PENNSBORO 2,Registered Voters,,,,1320,,,,,
Cumberland,EAST PENNSBORO 3,Registered Voters,,,,2301,,,,,
Cumberland,EAST PENNSBORO 4,Registered Voters,,,,1359,,,,,
Cumberland,EAST PENNSBORO 5,Registered Voters,,,,1468,,,,,
Cumberland,EAST PENNSBORO 6,Registered Voters,,,,660,,,,,
Cumberland,EAST PENNSBORO 7,Registered Voters,,,,1436,,,,,
Cumberland,EAST PENNSBORO 8,Registered Voters,,,,1434,,,,,
Cumberland,EAST PENNSBORO 9,Registered Voters,,,,1891,,,,,
Cumberland,EAST PENNSBORO 10,Registered Voters,,,,929,,,,,
Cumberland,HAMPDEN 1,Registered Voters,,,,1426,,,,,
Cumberland,HAMPDEN 2,Registered Voters,,,,1563,,,,,
Cumberland,HAMPDEN 3,Registered Voters,,,,1434,,,,,
Cumberland,HAMPDEN 4,Registered Voters,,,,1414,,,,,
Cumberland,HAMPDEN 5,Registered Voters,,,,1676,,,,,
Cumberland,HAMPDEN 6,Registered Voters,,,,2181,,,,,
Cumberland,HAMPDEN 7,Registered Voters,,,,1063,,,,,
Cumberland,HAMPDEN 8,Registered Voters,,,,889,,,,,
Cumberland,HAMPDEN 9,Registered Voters,,,,1473,,,,,
Cumberland,HAMPDEN 10,Registered Voters,,,,3707,,,,,
Cumberland,HAMPDEN 11,Registered Voters,,,,3520,,,,,
Cumberland,HAMPDEN 12,Registered Voters,,,,2138,,,,,
Cumberland,HOPEWELL,Registered Voters,,,,1361,,,,,
Cumberland,LEMOYNE 1,Registered Voters,,,,695,,,,,
Cumberland,LEMOYNE 2,Registered Voters,,,,580,,,,,
Cumberland,LEMOYNE 3,Registered Voters,,,,1524,,,,,
Cumberland,LEMOYNE 4,Registered Voters,,,,472,,,,,
Cumberland,LOWER ALLEN 1 ANNEX,Registered Voters,,,,242,,,,,
Cumberland,LOWER ALLEN 1,Registered Voters,,,,1143,,,,,
Cumberland,LOWER ALLEN 2,Registered Voters,,,,3114,,,,,
Cumberland,LOWER ALLEN 3,Registered Voters,,,,1832,,,,,
Cumberland,LOWER ALLEN 4,Registered Voters,,,,1149,,,,,
Cumberland,LOWER ALLEN 5,Registered Voters,,,,2702,,,,,
Cumberland,LOWER ALLEN 6,Registered Voters,,,,1971,,,,,
Cumberland,LOWER FRANKFORD,Registered Voters,,,,1080,,,,,
Cumberland,LOWER MIFFLIN,Registered Voters,,,,1053,,,,,
Cumberland,MECHANICSBURG 1,Registered Voters,,,,746,,,,,
Cumberland,MECHANICSBURG 2-1,Registered Voters,,,,1185,,,,,
Cumberland,MECHANICSBURG 2-2,Registered Voters,,,,1366,,,,,
Cumberland,MECHANICSBURG 3,Registered Voters,,,,1160,,,,,
Cumberland,MECHANICSBURG 4,Registered Voters,,,,772,,,,,
Cumberland,MECHANICSBURG 5,Registered Voters,,,,1135,,,,,
Cumberland,MIDDLESEX 1,Registered Voters,,,,2914,,,,,
Cumberland,MIDDLESEX 2,Registered Voters,,,,1491,,,,,
Cumberland,MONROE 1,Registered Voters,,,,2572,,,,,
Cumberland,MONROE 2,Registered Voters,,,,1957,,,,,
Cumberland,MT HOLLY SPRINGS,Registered Voters,,,,1185,,,,,
Cumberland,NEW CUMBERLAND 1-1,Registered Voters,,,,1879,,,,,
Cumberland,NEW CUMBERLAND 2-1,Registered Voters,,,,1316,,,,,
Cumberland,NEW CUMBERLAND 2-2,Registered Voters,,,,1288,,,,,
Cumberland,NEW CUMBERLAND 2-3,Registered Voters,,,,944,,,,,
Cumberland,NEWBURG,Registered Voters,,,,210,,,,,
Cumberland,NEWVILLE NORTH,Registered Voters,,,,456,,,,,
Cumberland,NEWVILLE SOUTH,Registered Voters,,,,330,,,,,
Cumberland,NORTH MIDDLETON 1,Registered Voters,,,,2762,,,,,
Cumberland,NORTH MIDDLETON 2,Registered Voters,,,,1782,,,,,
Cumberland,NORTH MIDDLETON 3,Registered Voters,,,,3450,,,,,
Cumberland,NORTH NEWTON,Registered Voters,,,,1345,,,,,
Cumberland,PENN,Registered Voters,,,,1720,,,,,
Cumberland,SHIPPENSBURG EAST,Registered Voters,,,,1230,,,,,
Cumberland,SHIPPENSBURG MIDDLE,Registered Voters,,,,1484,,,,,
Cumberland,SHIPPENSBURG TWP,Registered Voters,,,,2836,,,,,
Cumberland,SHIREMANSTOWN,Registered Voters,,,,1153,,,,,
Cumberland,SILVER SPRING 1,Registered Voters,,,,1691,,,,,
Cumberland,SILVER SPRING 2,Registered Voters,,,,1273,,,,,
Cumberland,SILVER SPRING 3,Registered Voters,,,,1255,,,,,
Cumberland,SILVER SPRING 4,Registered Voters,,,,1591,,,,,
Cumberland,SILVER SPRING 5,Registered Voters,,,,1486,,,,,
Cumberland,SILVER SPRING 6,Registered Voters,,,,1120,,,,,
Cumberland,SILVER SPRING 7,Registered Voters,,,,2210,,,,,
Cumberland,SILVER SPRING 8,Registered Voters,,,,1200,,,,,
Cumberland,SILVER SPRING 9,Registered Voters,,,,1008,,,,,
Cumberland,SOUTH MIDDLETON 1,Registered Voters,,,,1325,,,,,
Cumberland,SOUTH MIDDLETON 2,Registered Voters,,,,1196,,,,,
Cumberland,SOUTH MIDDLETON 3,Registered Voters,,,,1230,,,,,
Cumberland,SOUTH MIDDLETON 4,Registered Voters,,,,1308,,,,,
Cumberland,SOUTH MIDDLETON 5,Registered Voters,,,,1196,,,,,
